budget,revenue,runtime,rating,votes,year,roi,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,label
2.219331818780403,1.3063363820239926,-0.7337284017854675,0.08107648363255099,-0.09107306601883443,0.48433326426713225,-0.298654826233239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.295813427247511,3.270605999067527,-0.582968576205632,-1.1869877836306955,3.483785680932318,0.8907008367948339,0.4276195990787746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.525258252648834,-0.8104024376154843,0.472350202853216,-0.6105949348746742,-0.6246706057897015,-0.5722224243048921,-1.124037960274438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.410535839948172,2.1880555462877687,0.4220969276599375,-0.2647592256210616,1.6688197371704014,0.646880293278213,-0.02071598738911444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.6017398611159415,1.375117550863058,-0.582968576205632,0.08107648363255099,0.634668541972276,0.646880293278213,-0.36212584921350216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6017398611159415,1.2041810481014035,1.0251362299792792,0.08107648363255099,-0.19387626175450606,-0.16585485177719045,-0.4217947391684905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6017398611159415,2.416475571360354,-0.9849947777518598,0.31163362313495974,1.3469478267122867,0.5656067787726726,0.0013815124378469684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.219331818780403,1.6566782212953908,0.2210838268868236,0.888026471890981,3.0566628796019684,0.8907008367948339,-0.1627726041060523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.295813427247511,2.7089677515889297,-0.582968576205632,-0.7258735046258791,0.7166663290471569,-0.16585485177719045,0.21452031416832892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.219331818780403,3.0655169617063693,2.0804550090381273,1.92553359965182,4.519160723698725,0.3217862352560516,0.38365410605804956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
